"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"100101","10200","พระบรมมหาราชวัง","Phra Borom Maha Ratchawang","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100102","10200","วังบูรพาภิรมย์","Wang Burapha Phirom","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100103","10200","วัดราชบพิธ","Wat Ratchabophit","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100104","10200","สำราญราษฎร์","Samran Rat","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100105","10200","ศาลเจ้าพ่อเสือ","San Chao Pho Suea","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100106","10200","เสาชิงช้า","Sao Chingcha","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100107","10200","บวรนิเวศ","Bowon Niwet","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100108","10200","ตลาดยอด","Talat Yot","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100109","10200","ชนะสงคราม","Chana Songkhram","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100110","10200","บ้านพานถม","Ban Phan Thom","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100111","10200","บางขุนพรหม","Bang Khun Phrom","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100112","10200","วัดสามพระยา","Wat Sam Phraya","1","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100201","10300","ดุสิต","Dusit","2","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100202","10300","วชิรพยาบาล","Wachiraphayaban","2","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100203","10300","สวนจิตรลดา","Suan Chit Lada","2","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100204","10300","สี่แยกมหานาค","Si Yaek Maha Nak","2","9/8/2019 03:33:09","9/8/2019 03:33:09",
"100206","10300","ถนนนครไชยศรี","Thanon Nakhon Chai Si","2","9/8/2019 03:33:09","9/8/2019 03:33:09",
