id,name_th,name_en,geography_id,created_at,updated_at,deleted_at
1,กรุงเทพมหานคร,Bangkok,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
2,สมุทรปราการ,Samut Prakan,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
3,นนทบุรี,Nonthaburi,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
4,ปทุมธานี,Pathum Thani,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
5,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
6,อ่างทอง,Ang Thong,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
7,ลพบุรี,Lopburi,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
8,สิงห์บุรี,Sing Buri,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
9,ชัยนาท,Chai Nat,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
10,สระบุรี,Saraburi,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
11,ชลบุรี,Chon Buri,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
12,ระยอง,Rayong,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
13,จันทบุรี,Chanthaburi,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
14,ตราด,Trat,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
15,ฉะเชิงเทรา,Chachoengsao,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
16,ปราจีนบุรี,Prachin Buri,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
17,นครนายก,Nakhon Nayok,2,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
18,สระแก้ว,Sa Kaeo,5,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
19,นครราชสีมา,Nakhon Ratchasima,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
20,บุรีรัมย์,Buri Ram,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
21,สุรินทร์,Surin,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
22,ศรีสะเกษ,Si Sa Ket,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
23,อุบลราชธานี,Ubon Ratchathani,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
24,ยโสธร,Yasothon,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
25,ชัยภูมิ,Chaiyaphum,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
26,อำนาจเจริญ,Amnat Charoen,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
27,หนองบัวลำภู,Nong Bua Lam Phu,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
28,ขอนแก่น,Khon Kaen,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
29,อุดรธานี,Udon Thani,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
30,เลย,Loei,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
31,หนองคาย,Nong Khai,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
32,มหาสารคาม,Maha Sarakham,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
33,ร้อยเอ็ด,Roi Et,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
34,กาฬสินธุ์,Kalasin,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
35,สกลนคร,Sakon Nakhon,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
36,นครพนม,Nakhon Phanom,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
37,มุกดาหาร,Mukdahan,3,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
