id,zip_code,name_th,name_en,prefix_th,prefix_en,district_id,lat,long,created_at,updated_at,deleted_at
100101,10200,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100102,10200,วังบูรพาภิรมย์,Wang Burapha Phirom,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100103,10200,วัดราชบพิธ,Wat Ratchabophit,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100104,10200,สำราญราษฎร์,Samran Rat,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100105,10200,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100106,10200,เสาชิงช้า,Sao Chingcha,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100107,10200,บวรนิเวศ,Bowon Niwet,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100108,10200,ตลาดยอด,Talat Yot,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100109,10200,ชนะสงคราม,Chana Songkhram,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100110,10200,บ้านพานถม,Ban Phan Thom,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100111,10200,บางขุนพรหม,Bang Khun Phrom,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100112,10200,วัดสามพระยา,Wat Sam Phraya,แขวง,Khwaeng,1001,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
100201,10300,ดุสิต,Dusit,แขวง,Khwaeng,1002,,,2019-08-09T03:33:09.000+07:00,2025-09-20T06:31:26.000+07:00,
